No.;Time;Comment;Scramble
1;26.76;;U R U F' U2 R' D B2 L' B2 U2 F L2 U2 B D2 R2 D2 B' R2
2;39.80;;L' U2 L' F2 L2 U2 L' U2 L B2 R2 U' B R2 D' U2 R' F R2 F2 L
3;35.87;;B2 R' B L2 D' R L2 U' F R2 L2 F' D2 F2 U2 F' D2
4;25.51;;L B U2 R2 B2 D2 B R2 B' L2 R2 U2 R D R' U2 L2 D F
5;21.96;;U L' U' B R2 D L F U R D2 L2 B' U2 D2 F' R2 B U2 F R2
6;32.82;;U2 R2 B2 L R D2 L U2 R' D2 U L B R2 D' F D U' R2
7;23.18;;B U' L D F' R2 U2 L' D' R2 U2 R L D2 R U2 F2 D2 B2 L
8;23.98;;U2 L D2 L F2 L R' F2 R U' R2 F U' F D' B2 F' L' U
9;33.92;;F2 D U2 R2 F2 D2 L2 B2 U L2 B R2 U B' L F' U' L' B2 R'
10;28.66;;B D' F2 L2 D2 F' L' U' B D' L2 B2 U D2 R2 U B2 R2 D'
11;22.24;;L' D L' D' R2 L F2 U R' D2 F' B' L2 F' D2 F U2 D2
12;26.11;;B' D2 L2 B2 L2 B' R2 B' D2 L2 R' F D2 B' L2 R F' L U' L'
13;30.45;;D' F' R B L' F2 D2 R2 B L' B2 R2 F2 L2 U2 D' F2 U' R2 D'
14;29.09;;R2 D R' U' L D F' R B U' R B2 R F2 U2 R' U2 B2 U2 R' U2
15;25.99;;B' D2 L' R2 F2 L2 R' B2 D2 R D2 B2 F D2 L R B U' B' R'
16;31.15;;R2 F2 D2 B L2 B2 U2 L2 B2 U2 R' U2 B' U' F' R' D' B' R B
