No.;Time;Comment;Scramble
1;1:09.55;;Uw2 U R' U B' F' Fw' Rw' B' Rw' B2 Uw L' Rw2 Fw Rw2 Fw Uw2 Rw2 U R L B2 Uw Rw2 Fw F' D2 F L' F' L' Rw2 B D2 Uw2 U' R B Rw2
2;1:04.91;;U F' U' R2 L D R' F L2 Fw' L R2 Fw2 L2 R' Rw Fw B' U' F2 B2 Rw Fw' B U2 R2 L2 F Rw2 D' Rw' Fw' D' B L2 U' R' Fw' R2 F'
3;1:02.44;;B Uw' D U' B R B Uw F' L' Fw' L2 D' Uw B F Fw' Uw' B' D2 F U D L R Rw2 F' L' U' Uw Fw2 D2 Fw' B' Rw L2 D' L' R' U'
4;1:03.35;;Fw Rw R' Uw' R D Fw' B2 D' Fw' R' D2 Uw2 R' Rw Fw2 Uw2 F Uw2 U2 Rw2 U' Fw' L F' D R' U L Rw Fw B R' D' F' D L Uw' F U
5;1:17.13;;U2 R2 D R' D B2 R' Uw2 Fw2 Rw' D2 Rw F Rw' D R Fw Rw B2 R2 Fw2 Rw2 Fw R2 B' D' B2 Fw' Rw D2 B' Fw' U' R Fw D2 R2 L2 Fw' D'
6;1:22.56;;Fw2 B2 U2 F' B2 Fw U2 F2 Fw2 D Uw R2 Fw' R2 U' F Fw D Fw R2 F B' Uw' D2 U' Fw' U B' Uw2 L2 Uw B2 F2 Uw2 U' Rw' D' Rw' D Rw'
7;56.57;;Uw2 B2 Rw2 U B F2 R' U D2 R2 Rw Fw' D B' D' R L Fw' Rw2 Fw2 D2 Uw Fw' F2 U' B F2 L2 R' Rw' B2 U' B R' F' L2 R Uw2 Rw' L2
8;1:07.15;;F' Uw' R' D Uw' R2 Fw' F2 Uw2 R2 Fw2 L' Uw' Rw Uw L F2 Rw2 D' B Rw Uw U D B Uw' Fw' B' Rw R L2 U Rw2 B D' Uw' Fw' L Uw' Rw'
9;51.10;;U L2 B U2 R' L' F U2 B2 Fw Rw F Fw2 B2 U Fw R2 B2 R U' D B' F R F' D2 F Uw' F U' Uw F' Rw' Fw' R2 Rw D Fw' Rw R'
10;1:15.11;;L' Rw2 B F2 Fw' R' D Fw2 D' F2 Fw2 B R' Fw L F2 L D L2 R2 Uw2 B' Uw' B2 Uw F B L2 R' B2 L2 D' L Fw2 R2 B2 Uw L2 Fw' D2
11;1:08.52;;Rw' Uw' Rw2 F B2 U D Fw2 R F' R2 F2 D U' Uw' F U2 B F U D F' Rw2 F' B2 Fw' U R2 Uw2 Fw' F' L' Uw' B2 Uw2 Fw' R' Rw2 Fw' Uw'
12;59.30;;Fw2 D U' Fw' B2 L R' D2 Rw2 Fw2 B D R2 F2 R' D' F2 Uw' U' Rw2 D2 L2 Uw R' Rw L Uw D L' F2 Fw' B L Uw2 D' U' B Rw Fw2 R'
13;56.02;;U L2 B' R2 Rw B2 Uw2 D' R2 Uw' Rw' Uw' Fw' Rw2 B2 Rw2 F' D' Uw' R' Uw' D2 U R' Uw Rw Uw' Fw2 Uw2 L2 Uw' U2 F U2 Rw2 D' L' R' D Fw'
